panel,multipole,curve,x_alaee,y_norm,source,page
a,ED,mie,0.13944994327086635,0.005604185940914164,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.1789371359026013,0.005604185940914164,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.18111164371594957,0.026737246550617044,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.1986644409715339,0.026737246550617044,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.20083894878488218,0.04675585736819343,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.21182248754021926,0.04675585736819343,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.21400352181640692,0.06788891797789276,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.22278644690703842,0.06788891797789276,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.22496095472038669,0.08902197858759564,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.2304788548595761,0.08902197858759564,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.23154321632598562,0.10904247510702092,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.23700890476246028,0.10904247510702092,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.2392617799502077,0.13017365001487136,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.2425529107530071,0.13017365001487136,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.24473394502919465,0.15130671062457424,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.2480185493691548,0.15130671062457424,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.25019958364534245,0.17132720714399952,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.2534841879853025,0.17132720714399952,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.25566522226149013,0.19233581143173595,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.2568014744597863,0.19233581143173595,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.25898250873597395,0.21359144266155283,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.2611570165493222,0.21359144266155283,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.26227363953877336,0.2336119391809781,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.26444814735212163,0.2336119391809781,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.2666226551654699,0.25474499979067744,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.26773927815492105,0.25474499979067744,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.2699203124311087,0.27587617469853143,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.27103045877804754,0.27587617469853143,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.2732049665913958,0.2957741005978427,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.2754578417791431,0.2957741005978427,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
a,ED,mie,0.27649609739419523,0.3170297318276596,C:\Users\27370\Desktop\project\optics_agent\papers\mie-f\01-主论文\Alaee_2018_An_Electromagnetic_Multipole_Expansion_Beyond_the_Long-Wavelength_Approximation.pdf,4
